epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,745.084,0.83004,3.38487,0.24672,0.85632,0.98848,0.81528,0.84443,0.92873,0.80194,0.74807,0.73114,0.77094,0.43399,0.55762,2.24728,0.16065,0.67176,0.85103,0.00369617,0.00369617,0.00369617
17,789.646,0.82379,3.34476,0.24013,0.85754,0.98598,0.79446,0.85168,0.92158,0.7991,0.75656,0.72215,0.74791,0.43001,0.5671,2.2423,0.16408,0.74762,0.85129,0.00369257,0.00369257,0.00369257
18,834.001,0.81941,3.29402,0.24319,0.86254,0.98483,0.83155,0.86542,0.93628,0.81356,0.76593,0.76022,0.77656,0.43071,0.5596,2.24365,0.14256,0.68914,0.84222,0.00368896,0.00368896,0.00368896
19,878.67,0.80051,3.12461,0.22674,0.82948,0.97996,0.82521,0.87536,0.93379,0.82978,0.75152,0.72844,0.73907,0.41821,0.51816,2.24836,0.14367,0.66437,0.83566,0.00368535,0.00368535,0.00368535
20,922.817,0.80758,3.12557,0.22813,0.83742,0.98207,0.82923,0.83503,0.93302,0.82023,0.75258,0.71632,0.74701,0.44177,0.53665,2.29325,0.13803,0.65981,0.84497,0.00368175,0.00368175,0.00368175
21,969.289,0.79212,2.94787,0.22761,0.82615,0.9777,0.81427,0.87671,0.93673,0.82841,0.78188,0.72474,0.75461,0.44534,0.51783,2.15484,0.14351,0.64509,0.83627,0.00367814,0.00367814,0.00367814
22,1013.62,0.77693,2.88442,0.21934,0.82472,0.97214,0.83345,0.86373,0.93753,0.84099,0.7824,0.76944,0.80677,0.46308,0.47754,2.0596,0.12766,0.63619,0.82845,0.00367453,0.00367453,0.00367453
23,1058.55,0.76533,2.77896,0.20787,0.79573,0.96159,0.84275,0.85208,0.94049,0.83873,0.77339,0.77587,0.80204,0.49344,0.48937,2.04272,0.13452,0.62327,0.83102,0.00367092,0.00367092,0.00367092
24,1102.87,0.75909,2.79958,0.21134,0.7957,0.96457,0.81705,0.88711,0.93952,0.83642,0.77136,0.78818,0.80036,0.4804,0.47939,2.00288,0.12059,0.63249,0.82876,0.00366732,0.00366732,0.00366732
25,1147.65,0.73927,2.71577,0.2073,0.78099,0.95839,0.82957,0.86798,0.93655,0.83367,0.78224,0.77228,0.80614,0.47576,0.4908,1.99683,0.12592,0.63337,0.83017,0.00366371,0.00366371,0.00366371
26,1192.83,0.732,2.70359,0.20295,0.78042,0.95197,0.82611,0.89558,0.94536,0.85452,0.79237,0.80224,0.83135,0.4847,0.46144,1.94532,0.1213,0.61334,0.82334,0.0036601,0.0036601,0.0036601
27,1237.14,0.75418,2.64352,0.20241,0.79522,0.9624,0.85719,0.84132,0.93643,0.83789,0.81464,0.74125,0.78642,0.46688,0.48003,2.03001,0.13272,0.67218,0.83458,0.0036565,0.0036565,0.0036565
28,1281.62,0.73371,2.59547,0.19726,0.77297,0.95551,0.80481,0.89025,0.9454,0.85761,0.81771,0.74042,0.80693,0.47879,0.46491,2.06095,0.13365,0.59852,0.81686,0.00365289,0.00365289,0.00365289
29,1326.37,0.72192,2.59711,0.19457,0.75831,0.95164,0.8222,0.88114,0.94245,0.85661,0.80581,0.75471,0.80019,0.50181,0.44946,1.87862,0.13078,0.62289,0.81785,0.00364928,0.00364928,0.00364928
30,1370.83,0.73079,2.60987,0.19474,0.77112,0.95147,0.84564,0.86503,0.94324,0.85628,0.78555,0.79824,0.82621,0.49808,0.44597,1.87048,0.12083,0.61456,0.81742,0.00364568,0.00364568,0.00364568
31,1414.89,0.71918,2.4776,0.193,0.75502,0.94539,0.89761,0.81838,0.94542,0.85697,0.83512,0.74625,0.81543,0.50321,0.46731,1.83341,0.12307,0.61128,0.8232,0.00364207,0.00364207,0.00364207
32,1459.32,0.71432,2.40197,0.18231,0.75309,0.9427,0.83524,0.88076,0.94473,0.85405,0.79289,0.8098,0.84369,0.52733,0.45316,1.76055,0.10912,0.60606,0.81639,0.00363846,0.00363846,0.00363846
33,1503.53,0.72221,2.38132,0.18593,0.75476,0.95154,0.85687,0.88602,0.95247,0.8702,0.8102,0.80905,0.84735,0.5204,0.43718,1.84633,0.11324,0.59582,0.81381,0.00363486,0.00363486,0.00363486
34,1548.07,0.71033,2.43982,0.18987,0.75267,0.94422,0.82573,0.90246,0.94903,0.86602,0.79634,0.81534,0.85015,0.53381,0.4372,1.75325,0.11487,0.58502,0.81807,0.00363125,0.00363125,0.00363125
35,1592.48,0.69758,2.4085,0.18955,0.75374,0.94821,0.86166,0.84962,0.94394,0.86163,0.84102,0.75977,0.82996,0.51588,0.44231,1.87925,0.11911,0.60834,0.81893,0.00362764,0.00362764,0.00362764
36,1637.01,0.70824,2.40157,0.17643,0.74678,0.94209,0.832,0.90334,0.94909,0.86531,0.79898,0.80752,0.8285,0.53974,0.45291,1.78041,0.11362,0.59469,0.81782,0.00362403,0.00362403,0.00362403
37,1683.12,0.69336,2.3214,0.17959,0.73945,0.93884,0.83543,0.86455,0.94914,0.86845,0.83487,0.76563,0.84289,0.55032,0.43223,1.69826,0.10723,0.58173,0.81243,0.00362043,0.00362043,0.00362043
38,1727.61,0.70057,2.29257,0.17852,0.72759,0.94044,0.86438,0.86753,0.95135,0.86543,0.83856,0.78493,0.8412,0.54288,0.46245,1.75972,0.10428,0.59108,0.82189,0.00361682,0.00361682,0.00361682
39,1772.24,0.68982,2.27477,0.17919,0.72601,0.93354,0.84961,0.86788,0.94979,0.87494,0.84087,0.78885,0.86378,0.56699,0.41688,1.64177,0.11253,0.57213,0.81128,0.00361321,0.00361321,0.00361321
40,1818.39,0.68824,2.25583,0.17345,0.71674,0.93466,0.82046,0.90401,0.95048,0.87246,0.87251,0.76732,0.86779,0.5542,0.42626,1.68284,0.09951,0.56831,0.8096,0.00360961,0.00360961,0.00360961
41,1862.82,0.67724,2.26202,0.17005,0.71743,0.93315,0.83141,0.88859,0.94982,0.87683,0.79907,0.82852,0.86154,0.56528,0.42425,1.66706,0.11048,0.57658,0.81094,0.003606,0.003606,0.003606
42,1906.93,0.67396,2.28454,0.17468,0.7079,0.9338,0.82786,0.89552,0.94617,0.87083,0.8123,0.81544,0.85881,0.56105,0.40416,1.61538,0.10031,0.57617,0.80604,0.00360239,0.00360239,0.00360239
43,1951.25,0.68872,2.245,0.17252,0.72488,0.93991,0.80343,0.88571,0.94228,0.86496,0.76456,0.82893,0.85706,0.56312,0.42006,1.66232,0.1077,0.58499,0.8083,0.00359879,0.00359879,0.00359879
44,1996.22,0.66611,2.17762,0.16896,0.72266,0.92451,0.81137,0.92241,0.95348,0.87997,0.76981,0.86371,0.86846,0.57356,0.40823,1.58065,0.10155,0.56735,0.80569,0.00359518,0.00359518,0.00359518
45,2041.6,0.66637,2.19357,0.16936,0.70565,0.9292,0.84696,0.88996,0.95364,0.88097,0.80909,0.83454,0.86035,0.54849,0.40768,1.64448,0.10395,0.57004,0.80883,0.00359157,0.00359157,0.00359157
46,2086.42,0.65745,2.15344,0.1666,0.70453,0.92474,0.86746,0.85818,0.95159,0.88233,0.83264,0.80347,0.86656,0.58878,0.40301,1.52651,0.09566,0.55968,0.8028,0.00358797,0.00358797,0.00358797
47,2131.21,0.65277,2.12283,0.16403,0.69428,0.92675,0.82228,0.92417,0.95315,0.87808,0.89963,0.76397,0.8872,0.59722,0.40752,1.51966,0.10072,0.55229,0.80653,0.00358436,0.00358436,0.00358436
48,2175.7,0.6588,2.09707,0.16403,0.67981,0.92295,0.85368,0.88372,0.95511,0.88176,0.83247,0.82644,0.87672,0.58261,0.4071,1.52271,0.09499,0.55555,0.80832,0.00358075,0.00358075,0.00358075
49,2220.28,0.65219,2.1456,0.16465,0.68139,0.92335,0.83039,0.88242,0.92792,0.86674,0.86246,0.78041,0.85438,0.58114,0.39527,1.54405,0.10086,0.57365,0.80166,0.00357714,0.00357714,0.00357714
50,2264.76,0.65817,2.14463,0.15898,0.69093,0.9303,0.86716,0.86453,0.95429,0.8775,0.85704,0.78303,0.86232,0.56088,0.42234,1.63186,0.09297,0.5525,0.80796,0.00357354,0.00357354,0.00357354
51,2309.47,0.65221,2.08926,0.15815,0.69209,0.92681,0.82992,0.91159,0.95719,0.88934,0.82395,0.80429,0.87396,0.59142,0.39037,1.56247,0.09569,0.53362,0.80038,0.00356993,0.00356993,0.00356993
52,2353.91,0.64857,2.13685,0.16868,0.67493,0.92435,0.85282,0.89359,0.93826,0.87181,0.8251,0.83325,0.87729,0.59623,0.38856,1.53432,0.10519,0.58371,0.7999,0.00356632,0.00356632,0.00356632
53,2398.43,0.63051,2.0433,0.15687,0.67835,0.92158,0.81929,0.92964,0.9542,0.88727,0.81706,0.83263,0.8705,0.59625,0.38515,1.53459,0.09833,0.53198,0.79915,0.00356272,0.00356272,0.00356272
54,2443.06,0.64423,2.06001,0.16191,0.67967,0.91743,0.86872,0.87607,0.95596,0.8918,0.83868,0.8313,0.88267,0.5862,0.38346,1.56108,0.09654,0.53294,0.80189,0.00355911,0.00355911,0.00355911
55,2487.5,0.62237,1.94416,0.15389,0.66673,0.91338,0.87447,0.89441,0.95885,0.89175,0.8333,0.83688,0.88154,0.59679,0.38873,1.54438,0.09193,0.53491,0.80227,0.0035555,0.0035555,0.0035555
56,2532.69,0.63235,2.07896,0.15581,0.66773,0.91914,0.82519,0.92007,0.95113,0.89313,0.78311,0.87227,0.8848,0.61918,0.37147,1.4804,0.08637,0.53131,0.80055,0.0035519,0.0035519,0.0035519
57,2579.67,0.62302,2.00853,0.15739,0.66107,0.91606,0.86899,0.8868,0.96056,0.89992,0.86181,0.80555,0.88627,0.60701,0.37622,1.47892,0.09779,0.52695,0.79904,0.00354829,0.00354829,0.00354829
58,2629.5,0.62211,1.98462,0.15994,0.66153,0.91724,0.85111,0.91522,0.96021,0.9044,0.87445,0.80966,0.88469,0.60958,0.3636,1.43645,0.09021,0.50659,0.79736,0.00354468,0.00354468,0.00354468
59,2673.87,0.62067,1.99059,0.15533,0.65388,0.91771,0.8697,0.86893,0.95598,0.8999,0.85998,0.81341,0.89192,0.60978,0.36731,1.47577,0.08898,0.52497,0.79478,0.00354108,0.00354108,0.00354108
60,2718.44,0.6202,1.97877,0.15236,0.65698,0.91315,0.86752,0.89646,0.96268,0.90333,0.85585,0.82445,0.89422,0.61389,0.37551,1.50319,0.08894,0.51231,0.7969,0.00353747,0.00353747,0.00353747
61,2763.05,0.6099,1.92447,0.14905,0.64185,0.90688,0.8648,0.88992,0.95287,0.89571,0.85701,0.81596,0.87297,0.60371,0.35645,1.51159,0.08309,0.59619,0.79659,0.00353386,0.00353386,0.00353386
62,2808.2,0.62993,1.94642,0.15371,0.65798,0.91617,0.84588,0.90605,0.95858,0.90268,0.85083,0.83132,0.89605,0.61373,0.36477,1.47701,0.09618,0.53078,0.79526,0.00353025,0.00353025,0.00353025
63,2853.03,0.62552,1.98017,0.15369,0.65703,0.91257,0.86156,0.91408,0.95715,0.89813,0.82865,0.83676,0.87729,0.60241,0.36521,1.45495,0.0887,0.54066,0.79674,0.00352665,0.00352665,0.00352665
64,2900.19,0.62809,1.9675,0.15227,0.65158,0.91294,0.86014,0.89604,0.9618,0.90352,0.88101,0.8107,0.90657,0.62424,0.36918,1.38469,0.08775,0.51282,0.79327,0.00352304,0.00352304,0.00352304
65,2945.32,0.61368,1.89708,0.1514,0.64312,0.91544,0.87594,0.89728,0.96108,0.90341,0.85985,0.84166,0.89676,0.6311,0.36733,1.37528,0.08418,0.51757,0.79804,0.00351943,0.00351943,0.00351943
66,2990.19,0.60456,1.96354,0.14819,0.64063,0.9075,0.84634,0.91315,0.95761,0.90346,0.84078,0.83209,0.89236,0.62857,0.36267,1.45004,0.087,0.51195,0.79428,0.00351583,0.00351583,0.00351583
67,3034.99,0.60943,1.88766,0.14791,0.63727,0.91299,0.86334,0.89409,0.95857,0.90255,0.88166,0.82335,0.90418,0.6369,0.36514,1.39052,0.09473,0.50719,0.79457,0.00351222,0.00351222,0.00351222
68,3080.01,0.61203,1.91682,0.14701,0.64776,0.91204,0.87397,0.9037,0.96291,0.90722,0.84734,0.834,0.88064,0.63017,0.36222,1.40744,0.08173,0.51112,0.79486,0.00350861,0.00350861,0.00350861
69,3125.05,0.60433,1.87167,0.15063,0.63455,0.91063,0.89139,0.89536,0.96622,0.91262,0.8659,0.86348,0.90904,0.62563,0.36517,1.35527,0.08229,0.49851,0.79414,0.00350501,0.00350501,0.00350501
70,3170.27,0.5979,1.8668,0.15024,0.6344,0.90865,0.8785,0.91092,0.96628,0.91175,0.85998,0.8561,0.91314,0.65173,0.35518,1.31266,0.08738,0.48738,0.79226,0.0035014,0.0035014,0.0035014
71,3215.11,0.60017,1.85216,0.14532,0.63178,0.91074,0.88282,0.90211,0.96332,0.91278,0.87342,0.85396,0.9081,0.63568,0.34924,1.32735,0.08796,0.49359,0.79533,0.00349779,0.00349779,0.00349779
72,3259.9,0.60592,1.85795,0.14933,0.63291,0.90777,0.88257,0.90046,0.96461,0.90825,0.86067,0.84863,0.90514,0.63572,0.35947,1.38108,0.08831,0.48928,0.79475,0.00349419,0.00349419,0.00349419
73,3304.77,0.61119,1.86256,0.14677,0.63982,0.91355,0.9042,0.88495,0.96632,0.91497,0.87264,0.84832,0.90883,0.65258,0.34221,1.31208,0.0787,0.47728,0.79047,0.00349058,0.00349058,0.00349058
74,3349.23,0.5961,1.84776,0.14604,0.63292,0.90852,0.898,0.89093,0.96742,0.91706,0.86045,0.84539,0.8955,0.62452,0.3445,1.35997,0.08262,0.47962,0.79039,0.00348697,0.00348697,0.00348697
75,3393.92,0.58978,1.7882,0.13808,0.62083,0.90439,0.90071,0.89631,0.96736,0.92007,0.88778,0.84517,0.91298,0.65439,0.33168,1.30925,0.07933,0.46862,0.7888,0.00348336,0.00348336,0.00348336
76,3439.21,0.59563,1.8297,0.1438,0.61796,0.90615,0.87994,0.91509,0.96578,0.91738,0.87747,0.84613,0.91747,0.65838,0.33322,1.30251,0.08262,0.48577,0.78894,0.00347976,0.00347976,0.00347976
77,3484.28,0.58169,1.80873,0.14471,0.62203,0.90427,0.89064,0.90875,0.96815,0.91682,0.87105,0.84073,0.90586,0.65157,0.34077,1.35908,0.08441,0.46294,0.7908,0.00347615,0.00347615,0.00347615
78,3529.78,0.58714,1.77477,0.13891,0.60638,0.9049,0.8735,0.92484,0.96673,0.91657,0.85455,0.84631,0.89564,0.63785,0.33285,1.37507,0.08227,0.48997,0.78888,0.00347254,0.00347254,0.00347254
79,3574.73,0.6062,1.8385,0.14694,0.63256,0.90983,0.85722,0.92026,0.96416,0.91559,0.8293,0.89074,0.91431,0.66343,0.34072,1.2869,0.07947,0.47808,0.78858,0.00346894,0.00346894,0.00346894
80,3620.19,0.57749,1.7394,0.14028,0.60181,0.90425,0.89504,0.89144,0.96645,0.92084,0.88735,0.83942,0.91447,0.65955,0.32461,1.28096,0.07968,0.46262,0.78728,0.00346533,0.00346533,0.00346533
81,3665.07,0.58969,1.75566,0.13858,0.60174,0.90612,0.87803,0.91981,0.96936,0.92414,0.88749,0.84427,0.9206,0.66582,0.32907,1.27479,0.07674,0.46504,0.78628,0.00346172,0.00346172,0.00346172
82,3710.25,0.58391,1.7647,0.14289,0.61498,0.90758,0.87497,0.93115,0.96906,0.92504,0.84325,0.88312,0.91582,0.67418,0.32796,1.29012,0.07735,0.47378,0.78754,0.00345812,0.00345812,0.00345812
83,3756.14,0.57349,1.79225,0.14028,0.60318,0.90293,0.88975,0.90312,0.96768,0.91789,0.87049,0.8699,0.92588,0.66641,0.33304,1.23131,0.07547,0.47695,0.78912,0.00345451,0.00345451,0.00345451
84,3800.92,0.58356,1.77269,0.14018,0.61524,0.89974,0.89214,0.8972,0.96592,0.91637,0.86443,0.86271,0.91614,0.66444,0.33451,1.2662,0.07459,0.46962,0.79019,0.0034509,0.0034509,0.0034509
85,3846.31,0.57737,1.75245,0.13716,0.59704,0.90282,0.89807,0.89213,0.96692,0.92211,0.88646,0.83019,0.91317,0.66878,0.32911,1.28588,0.08183,0.45799,0.78859,0.0034473,0.0034473,0.0034473
86,3891.01,0.58053,1.73337,0.13531,0.60541,0.90115,0.89453,0.91204,0.96997,0.92563,0.86343,0.87994,0.92037,0.67126,0.3247,1.24128,0.07579,0.46565,0.78745,0.00344369,0.00344369,0.00344369
87,3935.63,0.56038,1.6984,0.13679,0.59876,0.89841,0.8929,0.90287,0.96797,0.92345,0.85936,0.85566,0.9081,0.65096,0.32437,1.27508,0.08166,0.47779,0.78871,0.00344008,0.00344008,0.00344008
88,3980.26,0.56421,1.67342,0.13608,0.59035,0.89779,0.9066,0.90974,0.97064,0.9307,0.89165,0.8693,0.92676,0.67447,0.31555,1.22518,0.07469,0.45032,0.7861,0.00343647,0.00343647,0.00343647
89,4026.26,0.5612,1.68397,0.13141,0.57929,0.89612,0.90657,0.90697,0.96918,0.92334,0.87274,0.87232,0.92545,0.66051,0.31685,1.25788,0.0723,0.4663,0.78498,0.00343287,0.00343287,0.00343287
90,4071.4,0.57465,1.69632,0.13253,0.59332,0.89901,0.89979,0.9014,0.96848,0.92672,0.87292,0.8687,0.92511,0.68066,0.31481,1.20908,0.0775,0.46948,0.78618,0.00342926,0.00342926,0.00342926
91,4117.94,0.55826,1.68262,0.13287,0.58286,0.89246,0.89536,0.89882,0.96741,0.92632,0.86415,0.86742,0.91931,0.68006,0.31625,1.22655,0.07806,0.45501,0.78634,0.00342565,0.00342565,0.00342565
92,4162.84,0.56378,1.70668,0.13199,0.59204,0.89948,0.86241,0.92614,0.96548,0.92389,0.87118,0.83891,0.90925,0.65761,0.32493,1.25807,0.07244,0.49371,0.78503,0.00342205,0.00342205,0.00342205
93,4207.94,0.57129,1.70834,0.1345,0.58248,0.90045,0.89303,0.93038,0.97237,0.92819,0.85873,0.8871,0.92172,0.68479,0.31456,1.16198,0.06888,0.44735,0.78516,0.00341844,0.00341844,0.00341844
94,4255.19,0.56042,1.68031,0.13195,0.58284,0.89609,0.87609,0.93593,0.96971,0.93045,0.85275,0.89919,0.92804,0.68138,0.30093,1.18582,0.0718,0.43541,0.78538,0.00341483,0.00341483,0.00341483
95,4299.77,0.56169,1.67523,0.13089,0.58296,0.89816,0.89683,0.90978,0.97042,0.92938,0.86233,0.87305,0.9178,0.68856,0.31612,1.21414,0.07446,0.43865,0.78461,0.00341123,0.00341123,0.00341123
96,4345.63,0.57041,1.7004,0.12868,0.58857,0.90134,0.89719,0.90361,0.96668,0.9254,0.87325,0.86903,0.92218,0.68201,0.31878,1.18838,0.07077,0.45658,0.78639,0.00340762,0.00340762,0.00340762
97,4393.27,0.55734,1.62345,0.12955,0.57583,0.89604,0.88263,0.9237,0.97016,0.93239,0.85492,0.88733,0.92194,0.68805,0.30567,1.17818,0.07439,0.44696,0.78686,0.00340401,0.00340401,0.00340401
98,4442.59,0.55917,1.66071,0.1313,0.57593,0.89584,0.8805,0.9163,0.96986,0.92924,0.8672,0.86801,0.92135,0.69227,0.31692,1.1916,0.07129,0.44876,0.7863,0.00340041,0.00340041,0.00340041
99,4490.79,0.55448,1.63932,0.13012,0.58235,0.8933,0.89046,0.91568,0.9685,0.93143,0.87585,0.86324,0.91697,0.68934,0.30377,1.19354,0.0664,0.4595,0.78272,0.0033968,0.0033968,0.0033968
100,4536.62,0.54678,1.65841,0.12718,0.57788,0.89403,0.88115,0.91431,0.97029,0.93253,0.87911,0.85496,0.92453,0.69349,0.29745,1.17609,0.07001,0.44778,0.78282,0.00339319,0.00339319,0.00339319
101,4585.22,0.5527,1.60753,0.12724,0.57889,0.89402,0.89356,0.9092,0.97055,0.93678,0.86443,0.87881,0.92798,0.7002,0.30267,1.13611,0.0647,0.45142,0.78156,0.00338959,0.00338959,0.00338959
102,4630.13,0.55494,1.6339,0.13045,0.57412,0.89291,0.90962,0.89605,0.97125,0.93564,0.89121,0.8568,0.93069,0.705,0.30184,1.12856,0.07286,0.45203,0.78166,0.00338598,0.00338598,0.00338598
103,4675.96,0.54724,1.60503,0.12738,0.56816,0.88983,0.8582,0.95494,0.97141,0.93477,0.90117,0.85015,0.92814,0.69411,0.30224,1.1261,0.06745,0.42894,0.78085,0.00338237,0.00338237,0.00338237
104,4720.95,0.55644,1.60067,0.12903,0.56705,0.89841,0.89622,0.90923,0.96796,0.92677,0.89718,0.85255,0.92374,0.68499,0.30434,1.1592,0.06711,0.43735,0.78321,0.00337876,0.00337876,0.00337876
105,4765.82,0.54601,1.6127,0.12397,0.56386,0.89197,0.90337,0.91619,0.97201,0.93316,0.90236,0.8547,0.92975,0.69407,0.313,1.1823,0.06452,0.43363,0.78438,0.00337516,0.00337516,0.00337516
106,4811.04,0.54939,1.5739,0.12178,0.56481,0.8932,0.91317,0.90651,0.96948,0.93214,0.87709,0.8666,0.92064,0.68979,0.30506,1.17769,0.06887,0.44024,0.78608,0.00337155,0.00337155,0.00337155
107,4856.26,0.55125,1.59833,0.12867,0.57741,0.89236,0.88751,0.91649,0.96991,0.92876,0.84978,0.87784,0.91898,0.67751,0.29853,1.14508,0.0659,0.45194,0.78068,0.00336794,0.00336794,0.00336794
108,4901.47,0.54566,1.55402,0.1262,0.56509,0.88981,0.92047,0.90888,0.96966,0.93243,0.89289,0.87828,0.92947,0.68834,0.29321,1.14308,0.06561,0.43058,0.7808,0.00336434,0.00336434,0.00336434
109,4946.81,0.54593,1.58603,0.12765,0.57376,0.89217,0.90272,0.89523,0.96917,0.92979,0.90444,0.84497,0.92488,0.69229,0.29268,1.14343,0.06428,0.44368,0.7823,0.00336073,0.00336073,0.00336073
110,4991.9,0.5409,1.56569,0.12121,0.56572,0.88738,0.8904,0.92717,0.97291,0.93779,0.85994,0.88961,0.92463,0.69044,0.29329,1.1122,0.06699,0.43955,0.78059,0.00335712,0.00335712,0.00335712
111,5037.28,0.53373,1.50798,0.11823,0.55618,0.88828,0.88356,0.91884,0.97023,0.93319,0.91081,0.84225,0.92852,0.69559,0.28798,1.11059,0.06118,0.4281,0.77937,0.00335352,0.00335352,0.00335352
112,5082.01,0.5466,1.56129,0.1234,0.57839,0.89398,0.89322,0.92453,0.97197,0.93013,0.86968,0.90027,0.93738,0.70414,0.30311,1.09188,0.06091,0.43477,0.78144,0.00334991,0.00334991,0.00334991
113,5127.39,0.53745,1.5497,0.12063,0.5645,0.88412,0.90024,0.90561,0.97048,0.9328,0.89233,0.85595,0.92854,0.69735,0.29429,1.10629,0.06404,0.43804,0.77936,0.0033463,0.0033463,0.0033463
114,5172.6,0.53776,1.53286,0.12125,0.55256,0.89443,0.92308,0.88985,0.97184,0.93531,0.89663,0.84809,0.92424,0.70211,0.29744,1.13486,0.06294,0.43606,0.78108,0.0033427,0.0033427,0.0033427
115,5218.18,0.53382,1.53105,0.12602,0.55657,0.88776,0.91255,0.92592,0.97489,0.94075,0.88687,0.89366,0.93581,0.69839,0.28641,1.09668,0.06169,0.41719,0.77832,0.00333909,0.00333909,0.00333909
116,5264,0.53144,1.49808,0.11722,0.54063,0.88747,0.89512,0.92518,0.97194,0.93681,0.9062,0.85425,0.92678,0.6937,0.29557,1.12605,0.06353,0.42908,0.77943,0.00333548,0.00333548,0.00333548
117,5311.03,0.52491,1.47208,0.11789,0.55034,0.88784,0.90414,0.91838,0.97269,0.94181,0.89642,0.87077,0.93053,0.70275,0.28777,1.1126,0.06076,0.42795,0.78126,0.00333187,0.00333187,0.00333187
118,5356.5,0.53412,1.56628,0.12354,0.55121,0.89171,0.90379,0.9063,0.97329,0.94004,0.87362,0.87294,0.92786,0.69595,0.28989,1.13156,0.06153,0.42165,0.78085,0.00332827,0.00332827,0.00332827
